region;ue_cement;ue_chemicals;ue_otherInd;ue_steel_primary;ue_steel_secondary
CAZ;0.934897;0.916618;0.959862;0.897364;0.897364
CHA;1.075115;1.085618;0.945019;1.150958;1.150958
DEU;0.966736;0.802073;0.971772;0.98314;0.98314
ECE;1.14533;0.750128;0.893134;1.003148;1.003148
ECS;1.085166;0.713682;0.830512;1.530806;1.530806
ENC;0.916849;0.74988;0.996931;1.033424;1.033424
ESC;0.762321;0.608521;0.671405;0.98913;0.98913
ESW;0.655521;0.674632;0.813298;1.293879;1.293879
EWN;0.942059;0.767759;0.857888;0.897969;0.897969
FRA;0.754613;0.689991;0.931679;0.78814;0.78814
IND;0.827325;0.744925;0.852335;0.645292;0.645292
JPN;0.835216;0.798178;0.965163;0.917395;0.917395
LAM;0.918288;0.802406;0.835899;1.043128;1.043128
MEA;1.25192;0.856778;0.839734;1.585329;1.585329
NEN;0.920089;0.953819;0.934267;0.6;0.6
NES;0.986934;0.837988;0.842176;1.720838;1.720838
OAS;1.004098;0.729131;0.831886;0.842468;0.842468
REF;1.045356;0.761433;0.798502;1.675699;1.675699
SSA;0.892967;0.912262;0.785225;0.54574;0.54574
UKI;0.692551;0.626663;0.87556;1.279778;1.279778
USA;1.115378;0.904125;1.011184;0.718619;0.718619
